issn_l,esac_publisher
0020-7659,Taylor and Francis
2472-1735,Taylor and Francis
1754-9507,Taylor and Francis
1557-251X,Taylor and Francis
1940-6940,Taylor and Francis
1553-118X,Taylor and Francis
1350-4509,Taylor and Francis
1556-8318,Taylor and Francis
2692-398X,Taylor and Francis
0020-7721,Taylor and Francis
2330-2674,Taylor and Francis
1530-5058,Taylor and Francis
1357-1516,Taylor and Francis
0969-5958,Taylor and Francis
1448-0220,Taylor and Francis
2689-5269,Taylor and Francis
1226-5934,Taylor and Francis
1931-5260,Taylor and Francis
1473-3315,Taylor and Francis
0790-0627,Taylor and Francis
1424-1250,Taylor and Francis
0950-6608,Taylor and Francis
1931-3152,Taylor and Francis
1353-3312,Taylor and Francis
1356-3475,Taylor and Francis
1096-7494,Taylor and Francis
1038-2046,Taylor and Francis
0269-2171,Taylor and Francis
1360-0869,Taylor and Francis
0954-0261,Taylor and Francis
1229-4659,Taylor and Francis
0390-6701,Taylor and Francis
1750-984X,Taylor and Francis
0883-0185,Taylor and Francis
1942-2539,Taylor and Francis
0962-0214,Taylor and Francis
0269-8595,Taylor and Francis
0020-8825,Taylor and Francis
2042-6445,Taylor and Francis
2470-1475,Taylor and Francis
1087-5301,Taylor and Francis
1369-801X,Taylor and Francis
0792-4259,Taylor and Francis
1947-7503,Taylor and Francis
1029-3523,Taylor and Francis
0578-6967,Taylor and Francis
0021-0862,Taylor and Francis
0332-3315,Taylor and Francis
0790-7184,Taylor and Francis
0967-0882,Taylor and Francis
0301-9233,Taylor and Francis
2164-3040,Taylor and Francis
0959-6410,Taylor and Francis
1025-6016,Taylor and Francis
1353-7121,Taylor and Francis
2373-9789,Taylor and Francis
0161-2840,Taylor and Francis
0161-4622,Taylor and Francis
0075-1634,Taylor and Francis
0955-5803,Taylor and Francis
1037-1397,Taylor and Francis
1318-3222,Taylor and Francis
1854-8377,Taylor and Francis
1749-4060,Taylor and Francis
1462-169X,Taylor and Francis
1479-7585,Taylor and Francis
1469-1957,Taylor and Francis
2687-8003,Taylor and Francis
0210-3702,Taylor and Francis
2044-0243,Taylor and Francis
1935-7397,Taylor and Francis
1536-7967,Taylor and Francis
1055-0887,Taylor and Francis
0169-4243,Taylor and Francis
1472-9679,Taylor and Francis
0091-3367,Taylor and Francis
2053-9320,Taylor and Francis
1522-8916,Taylor and Francis
1369-6815,Taylor and Francis
2161-9441,Taylor and Francis
1092-6771,Taylor and Francis
0895-9420,Taylor and Francis
2689-2618,Taylor and Francis
1049-6505,Taylor and Francis
1059-924X,Taylor and Francis
0744-8481,Taylor and Francis
0021-8839,Taylor and Francis
1088-8705,Taylor and Francis
1045-4438,Taylor and Francis
0090-9882,Taylor and Francis
1166-3081,Taylor and Francis
1537-7903,Taylor and Francis
1936-1610,Taylor and Francis
1041-3200,Taylor and Francis
0266-4763,Taylor and Francis
2324-9676,Taylor and Francis
1049-8850,Taylor and Francis
2153-4764,Taylor and Francis
1355-6207,Taylor and Francis
1046-4883,Taylor and Francis
1533-2748,Taylor and Francis
1059-9231,Taylor and Francis
1028-6020,Taylor and Francis
1751-6242,Taylor and Francis
0277-0903,Taylor and Francis
1444-3058,Taylor and Francis
1944-8953,Taylor and Francis
0162-9778,Taylor and Francis
1542-7560,Taylor and Francis
1361-7672,Taylor and Francis
2576-117X,Taylor and Francis
0021-9266,Taylor and Francis
0920-5063,Taylor and Francis
0739-1102,Taylor and Francis
1054-3406,Taylor and Francis
1529-9716,Taylor and Francis
0886-5655,Taylor and Francis
0373-6687,Taylor and Francis
1940-1493,Taylor and Francis
0735-0015,Taylor and Francis
0896-3568,Taylor and Francis
2573-234X,Taylor and Francis
1051-712X,Taylor and Francis
0732-8303,Taylor and Francis
1469-7017,Taylor and Francis
1120-009X,Taylor and Francis
1728-0583,Taylor and Francis
1067-828X,Taylor and Francis
2372-7810,Taylor and Francis
0075-417X,Taylor and Francis
1053-8712,Taylor and Francis
1748-2798,Taylor and Francis
1938-8179,Taylor and Francis
1750-8061,Taylor and Francis
1476-5284,Taylor and Francis
2381-2346,Taylor and Francis
1744-8689,Taylor and Francis
1380-3395,Taylor and Francis
1537-4416,Taylor and Francis
1524-8372,Taylor and Francis
2044-5911,Taylor and Francis
1940-1639,Taylor and Francis
1540-4730,Taylor and Francis
1753-8068,Taylor and Francis
2051-8196,Taylor and Francis
0737-0016,Taylor and Francis
1070-5422,Taylor and Francis
1387-6988,Taylor and Francis
1061-8600,Taylor and Francis
2332-4309,Taylor and Francis
0887-4417,Taylor and Francis
1574-0773,Taylor and Francis
1072-0537,Taylor and Francis
1539-8285,Taylor and Francis
0258-9001,Taylor and Francis
0047-2336,Taylor and Francis
2573-9638,Taylor and Francis
1067-0564,Taylor and Francis
1478-2790,Taylor and Francis
1353-7903,Taylor and Francis
2330-7706,Taylor and Francis
1547-0148,Taylor and Francis
0095-8972,Taylor and Francis
1473-5970,Taylor and Francis
1476-4172,Taylor and Francis
2326-716X,Taylor and Francis
1533-2683,Taylor and Francis
1540-1383,Taylor and Francis
0735-648X,Taylor and Francis
1051-1253,Taylor and Francis
1476-7430,Taylor and Francis
1542-7528,Taylor and Francis
1542-8044,Taylor and Francis
1753-0350,Taylor and Francis
0887-3631,Taylor and Francis
1064-1734,Taylor and Francis
1550-5170,Taylor and Francis
0022-0272,Taylor and Francis
2373-8871,Taylor and Francis
2374-2917,Taylor and Francis
1529-0824,Taylor and Francis
1246-0125,Taylor and Francis
1943-9407,Taylor and Francis
1939-0211,Taylor and Francis
1023-6198,Taylor and Francis
2153-2974,Taylor and Francis
2331-2521,Taylor and Francis
0193-2691,Taylor and Francis
1050-2556,Taylor and Francis
1026-7158,Taylor and Francis
1550-4271,Taylor and Francis
1090-1027,Taylor and Francis
2222-582X,Taylor and Francis
1363-2469,Taylor and Francis
1066-9868,Taylor and Francis
1753-1055,Taylor and Francis
2470-5357,Taylor and Francis
0021-3624,Taylor and Francis
1350-178X,Taylor and Francis
1748-7870,Taylor and Francis
1472-4049,Taylor and Francis
1363-9080,Taylor and Francis
0883-2323,Taylor and Francis
1082-4669,Taylor and Francis
0260-7476,Taylor and Francis
0268-0939,Taylor and Francis
0022-0620,Taylor and Francis
1047-4412,Taylor and Francis
0894-6566,Taylor and Francis
1745-7289,Taylor and Francis
0920-5071,Taylor and Francis
1542-4065,Taylor and Francis
1941-126X,Taylor and Francis
0737-0652,Taylor and Francis
0264-6811,Taylor and Francis
0954-4828,Taylor and Francis
1948-8289,Taylor and Francis
2160-6544,Taylor and Francis
0964-0568,Taylor and Francis
1522-7200,Taylor and Francis
1093-4529,Taylor and Francis
0360-1234,Taylor and Francis
2689-6583,Taylor and Francis
1041-2905,Taylor and Francis
1531-3204,Taylor and Francis
1369-183X,Taylor and Francis
1537-7938,Taylor and Francis
1533-2640,Taylor and Francis
0703-6337,Taylor and Francis
1350-1763,Taylor and Francis
2640-8066,Taylor and Francis
0952-813X,Taylor and Francis
1526-7431,Taylor and Francis
1052-2158,Taylor and Francis
1322-9400,Taylor and Francis
2690-4586,Taylor and Francis
0895-2833,Taylor and Francis
0093-4690,Taylor and Francis
2690-6015,Taylor and Francis
1045-4446,Taylor and Francis
1537-8020,Taylor and Francis
2473-2842,Taylor and Francis
1341-6979,Taylor and Francis
0309-877X,Taylor and Francis
1935-9705,Taylor and Francis
1053-8720,Taylor and Francis
0958-9236,Taylor and Francis
1462-3528,Taylor and Francis
0022-1341,Taylor and Francis
0309-8265,Taylor and Francis
1089-9995,Taylor and Francis
0163-4372,Taylor and Francis
1550-428X,Taylor and Francis
1744-9626,Taylor and Francis
2093-2685,Taylor and Francis
2333-6846,Taylor and Francis
0891-1762,Taylor and Francis
2163-9159,Taylor and Francis
2470-4067,Taylor and Francis
2150-4857,Taylor and Francis
0885-4726,Taylor and Francis
1081-0730,Taylor and Francis
1049-6475,Taylor and Francis
1743-873X,Taylor and Francis
1360-080X,Taylor and Francis
0147-8885,Taylor and Francis
1538-1501,Taylor and Francis
0091-8369,Taylor and Francis
1532-3269,Taylor and Francis
1096-3758,Taylor and Francis
1936-8623,Taylor and Francis
1052-7001,Taylor and Francis
1091-1359,Taylor and Francis
1945-2829,Taylor and Francis
1533-2845,Taylor and Francis
1475-4835,Taylor and Francis
2332-2705,Taylor and Francis
1932-0256,Taylor and Francis
0022-1686,Taylor and Francis
1326-0219,Taylor and Francis
1469-9524,Taylor and Francis
1556-2948,Taylor and Francis
1532-1819,Taylor and Francis
2168-1015,Taylor and Francis
1528-9168,Taylor and Francis
1933-169X,Taylor and Francis
1522-8053,Taylor and Francis
1366-8250,Taylor and Francis
1616-1262,Taylor and Francis
1547-2442,Taylor and Francis
2694-3980,Taylor and Francis
1525-2019,Taylor and Francis
1747-5759,Taylor and Francis
0725-6868,Taylor and Francis
1535-0770,Taylor and Francis
1072-303X,Taylor and Francis
1751-3065,Taylor and Francis
0896-1530,Taylor and Francis
0897-4438,Taylor and Francis
1388-0292,Taylor and Francis
1533-2861,Taylor and Francis
1356-1820,Taylor and Francis
1750-2977,Taylor and Francis
1353-1042,Taylor and Francis
1756-4905,Taylor and Francis
1524-4113,Taylor and Francis
2164-604X,Taylor and Francis
1532-7701,Taylor and Francis
2051-2856,Taylor and Francis
1356-9325,Taylor and Francis
1534-8431,Taylor and Francis
0194-7648,Taylor and Francis
0022-2216,Taylor and Francis
1089-4160,Taylor and Francis
1936-1653,Taylor and Francis
2692-4951,Taylor and Francis
1533-290X,Taylor and Francis
0193-0826,Taylor and Francis
1937-5034,Taylor and Francis
0898-2104,Taylor and Francis
1082-6076,Taylor and Francis
1748-9725,Taylor and Francis
1532-5024,Taylor and Francis
1060-1325,Taylor and Francis
0022-2348,Taylor and Francis
2327-0012,Taylor and Francis
0742-1222,Taylor and Francis
1066-9817,Taylor and Francis
1542-0353,Taylor and Francis
2046-4177,Taylor and Francis
1352-7266,Taylor and Francis
0884-1241,Taylor and Francis
0267-257X,Taylor and Francis
1069-6679,Taylor and Francis
1745-9737,Taylor and Francis
1751-3480,Taylor and Francis
1534-8415,Taylor and Francis
1652-2354,Taylor and Francis
0899-7764,Taylor and Francis
2373-6992,Taylor and Francis
1757-7632,Taylor and Francis
0309-1902,Taylor and Francis
0304-4181,Taylor and Francis
1754-6559,Taylor and Francis
2472-4718,Taylor and Francis
0963-8237,Taylor and Francis
1931-5872,Taylor and Francis
0265-2048,Taylor and Francis
0832-7823,Taylor and Francis
1502-7570,Taylor and Francis
1753-5654,Taylor and Francis
1354-571X,Taylor and Francis
1472-5886,Taylor and Francis
0950-0340,Taylor and Francis
0305-7240,Taylor and Francis
0022-2895,Taylor and Francis
1744-7143,Taylor and Francis
0143-4632,Taylor and Francis
1059-8650,Taylor and Francis
0141-1896,Taylor and Francis
1360-2004,Taylor and Francis
0022-2933,Taylor and Francis
0167-7063,Taylor and Francis
0929-8215,Taylor and Francis
1026-7654,Taylor and Francis
1049-5142,Taylor and Francis
0022-3131,Taylor and Francis
2155-1200,Taylor and Francis
1545-9624,Taylor and Francis
1442-7591,Taylor and Francis
1941-1243,Taylor and Francis
1050-9674,Taylor and Francis
1755-876X,Taylor and Francis
1477-9633,Taylor and Francis
0160-8061,Taylor and Francis
1091-9392,Taylor and Francis
1536-0288,Taylor and Francis
0377-919X,Taylor and Francis
1868-0860,Taylor and Francis
1064-9867,Taylor and Francis
1740-0201,Taylor and Francis
2769-1616,Taylor and Francis
0885-3134,Taylor and Francis
0022-3891,Taylor and Francis
0730-3084,Taylor and Francis
0190-4167,Taylor and Francis
2000-6764,Taylor and Francis
0889-3675,Taylor and Francis
1833-5330,Taylor and Francis
1940-7963,Taylor and Francis
1356-9317,Taylor and Francis
1537-7857,Taylor and Francis
2158-379X,Taylor and Francis
1551-2169,Taylor and Francis
0195-6051,Taylor and Francis
0160-3477,Taylor and Francis
1744-9855,Taylor and Francis
1087-5549,Taylor and Francis
1085-2352,Taylor and Francis
1744-1048,Taylor and Francis
1556-6382,Taylor and Francis
1042-8232,Taylor and Francis
1049-6491,Taylor and Francis
0959-9916,Taylor and Francis
0279-1072,Taylor and Francis
1433-0237,Taylor and Francis
0734-7332,Taylor and Francis
1523-6803,Taylor and Francis
1554-8732,Taylor and Francis
1062-726X,Taylor and Francis
1528-008X,Taylor and Francis
0022-4065,Taylor and Francis
0929-6174,Taylor and Francis
0927-7544,Taylor and Francis
1083-5547,Taylor and Francis
0896-5803,Taylor and Francis
1079-9893,Taylor and Francis
1533-2667,Taylor and Francis
1542-6432,Taylor and Francis
1552-8030,Taylor and Francis
1047-7845,Taylor and Francis
2056-6093,Taylor and Francis
0264-6838,Taylor and Francis
0256-8543,Taylor and Francis
1065-6219,Taylor and Francis
1934-5747,Taylor and Francis
1539-1523,Taylor and Francis
1366-9877,Taylor and Francis
1558-2159,Taylor and Francis
1538-8220,Taylor and Francis
1046-560X,Taylor and Francis
0092-623X,Taylor and Francis
1355-2600,Taylor and Francis
1747-7778,Taylor and Francis
0827-6331,Taylor and Francis
0047-2778,Taylor and Francis
1053-0789,Taylor and Francis
1942-0676,Taylor and Francis
0148-8376,Taylor and Francis
0964-9069,Taylor and Francis
1043-7797,Taylor and Francis
1552-4264,Taylor and Francis
0265-0533,Taylor and Francis
1533-256X,Taylor and Francis
0305-7070,Taylor and Francis
1463-6204,Taylor and Francis
2324-7797,Taylor and Francis
1449-8596,Taylor and Francis
1934-9637,Taylor and Francis
1029-5399,Taylor and Francis
2152-0712,Taylor and Francis
0264-0414,Taylor and Francis
0094-9655,Taylor and Francis
0965-254X,Taylor and Francis
0140-2390,Taylor and Francis
2470-5314,Taylor and Francis
1949-6605,Taylor and Francis
1465-9891,Taylor and Francis
1741-5993,Taylor and Francis
2165-0373,Taylor and Francis
2043-0795,Taylor and Francis
1054-9811,Taylor and Francis
0966-9582,Taylor and Francis
1477-2019,Taylor and Francis
0897-5930,Taylor and Francis
0884-1233,Taylor and Francis
1531-3220,Taylor and Francis
1522-8835,Taylor and Francis
2051-1787,Taylor and Francis
2167-4736,Taylor and Francis
1096-2247,Taylor and Francis
0731-5724,Taylor and Francis
0197-1360,Taylor and Francis
0194-4363,Taylor and Francis
0361-0470,Taylor and Francis
0162-1459,Taylor and Francis
1354-7860,Taylor and Francis
0068-1288,Taylor and Francis
0007-1773,Taylor and Francis
0253-3839,Taylor and Francis
2158-7299,Taylor and Francis
1812-4461,Taylor and Francis
0964-704X,Taylor and Francis
1948-0881,Taylor and Francis
1945-5224,Taylor and Francis
2643-7015,Taylor and Francis
1050-8406,Taylor and Francis
1812-1004,Taylor and Francis
0160-5682,Taylor and Francis
0094-8705,Taylor and Francis
0303-6758,Taylor and Francis
0149-5739,Taylor and Francis
1476-6825,Taylor and Francis
1755-182X,Taylor and Francis
1528-7394,Taylor and Francis
0098-4108,Taylor and Francis
1093-7404,Taylor and Francis
1547-5778,Taylor and Francis
1943-9970,Taylor and Francis
1529-9732,Taylor and Francis
1054-8408,Taylor and Francis
2151-5581,Taylor and Francis
1468-5248,Taylor and Francis
0735-2166,Taylor and Francis
1357-4809,Taylor and Francis
1063-0732,Taylor and Francis
1754-9183,Taylor and Francis
0272-4634,Taylor and Francis
1470-2029,Taylor and Francis
1745-3054,Taylor and Francis
1051-144X,Taylor and Francis
1363-6820,Taylor and Francis
1752-6272,Taylor and Francis
1932-2909,Taylor and Francis
0957-1264,Taylor and Francis
0895-2841,Taylor and Francis
2637-9112,Taylor and Francis
1554-4788,Taylor and Francis
0277-3813,Taylor and Francis
1555-5259,Taylor and Francis
1367-6261,Taylor and Francis
2053-1702,Taylor and Francis
0094-7679,Taylor and Francis
1751-2786,Taylor and Francis
1461-670X,Taylor and Francis
1085-4681,Taylor and Francis
1934-2039,Taylor and Francis
2040-3313,Taylor and Francis
2475-1979,Taylor and Francis
0741-8825,Taylor and Francis
0098-261X,Taylor and Francis
0022-8958,Taylor and Francis
0961-5768,Taylor and Francis
0023-1940,Taylor and Francis
1477-8238,Taylor and Francis
0023-3609,Taylor and Francis
0023-656X,Taylor and Francis
1030-1763,Taylor and Francis
1040-2381,Taylor and Francis
0143-3768,Taylor and Francis
0142-6397,Taylor and Francis
1466-2035,Taylor and Francis
1759-7536,Taylor and Francis
1048-9223,Taylor and Francis
0950-0782,Taylor and Francis
1470-8477,Taylor and Francis
1543-4303,Taylor and Francis
0965-8416,Taylor and Francis
1547-3341,Taylor and Francis
1022-8195,Taylor and Francis
2327-3798,Taylor and Francis
0790-8318,Taylor and Francis
1357-650X,Taylor and Francis
1744-2222,Taylor and Francis
1097-8526,Taylor and Francis
1535-685X,Taylor and Francis
1752-1440,Taylor and Francis
1752-1483,Taylor and Francis
1757-9961,Taylor and Francis
1570-0763,Taylor and Francis
1743-9884,Taylor and Francis
2373-5082,Taylor and Francis
1460-728X,Taylor and Francis
2770-6869,Taylor and Francis
0270-319X,Taylor and Francis
0149-0400,Taylor and Francis
0261-4367,Taylor and Francis
1492-7713,Taylor and Francis
1026-8022,Taylor and Francis
1550-2716,Taylor and Francis
0075-8914,Taylor and Francis
2770-3371,Taylor and Francis
1448-4528,Taylor and Francis
0308-1087,Taylor and Francis
0267-8292,Taylor and Francis
1043-6928,Taylor and Francis
1938-8071,Taylor and Francis
0197-7261,Taylor and Francis
0458-063X,Taylor and Francis
2688-3597,Taylor and Francis
1354-9839,Taylor and Francis
0300-3930,Taylor and Francis
1250-7970,Taylor and Francis
1401-5439,Taylor and Francis
0705-3436,Taylor and Francis
2051-1817,Taylor and Francis
1091-0344,Taylor and Francis
1752-0843,Taylor and Francis
1744-9359,Taylor and Francis
2375-0472,Taylor and Francis
1023-6244,Taylor and Francis
1745-1000,Taylor and Francis
0149-0419,Taylor and Francis
1064-119X,Taylor and Francis
0308-8839,Taylor and Francis
1052-8008,Taylor and Francis
0149-4929,Taylor and Francis
1520-5436,Taylor and Francis
1743-2200,Taylor and Francis
1042-6914,Taylor and Francis
0960-3409,Taylor and Francis
1432-8917,Taylor and Francis
0267-0836,Taylor and Francis
1066-7857,Taylor and Francis
1072-4117,Taylor and Francis
0889-8480,Taylor and Francis
1098-6065,Taylor and Francis
0025-570X,Taylor and Francis
0748-1756,Taylor and Francis
1091-367X,Taylor and Francis
1536-6359,Taylor and Francis
1539-7734,Taylor and Francis
1537-6494,Taylor and Francis
0129-6612,Taylor and Francis
1368-8804,Taylor and Francis
2574-1136,Taylor and Francis
1521-3269,Taylor and Francis
0145-9740,Taylor and Francis
0276-3869,Taylor and Francis
0142-159X,Taylor and Francis
1362-3699,Taylor and Francis
0076-6097,Taylor and Francis
2046-5726,Taylor and Francis
1366-0691,Taylor and Francis
0951-8967,Taylor and Francis
1362-9395,Taylor and Francis
0965-8211,Taylor and Francis
1367-4676,Taylor and Francis
1361-1267,Taylor and Francis
1092-6488,Taylor and Francis
1943-6149,Taylor and Francis
1793-8120,Taylor and Francis
1475-262X,Taylor and Francis
0026-3206,Taylor and Francis
0094-0771,Taylor and Francis
0047-729X,Taylor and Francis
2163-2324,Taylor and Francis
2163-5781,Taylor and Francis
0899-5605,Taylor and Francis
1074-9039,Taylor and Francis
2572-6641,Taylor and Francis
0882-7508,Taylor and Francis
0147-037X,Taylor and Francis
1364-5706,Taylor and Francis
2572-6668,Taylor and Francis
2470-1394,Taylor and Francis
1745-0101,Taylor and Francis
0963-9489,Taylor and Francis
1439-7595,Taylor and Francis
2472-5625,Taylor and Francis
1542-1406,Taylor and Francis
0026-8976,Taylor and Francis
0892-7022,Taylor and Francis
1323-5818,Taylor and Francis
0254-9948,Taylor and Francis
1357-6275,Taylor and Francis
1521-0960,Taylor and Francis
0027-3171,Taylor and Francis
1936-9816,Taylor and Francis
1350-0775,Taylor and Francis
0964-7775,Taylor and Francis
1559-6893,Taylor and Francis
1461-3808,Taylor and Francis
1058-8167,Taylor and Francis
0814-5857,Taylor and Francis
1812-5980,Taylor and Francis
0027-5514,Taylor and Francis
2639-0043,Taylor and Francis
1556-7265,Taylor and Francis
1743-5390,Taylor and Francis
1460-8944,Taylor and Francis
1353-7113,Taylor and Francis
1478-6419,Taylor and Francis
0077-6297,Taylor and Francis
0954-898X,Taylor and Francis
0165-8107,Taylor and Francis
1355-4794,Taylor and Francis
0161-6412,Taylor and Francis
1529-4145,Taylor and Francis
0960-2011,Taylor and Francis
1044-8632,Taylor and Francis
1356-3467,Taylor and Francis
0739-3148,Taylor and Francis
1361-4533,Taylor and Francis
1361-4541,Taylor and Francis
1740-0309,Taylor and Francis
1361-4568,Taylor and Francis
1361-4576,Taylor and Francis
1479-0726,Taylor and Francis
0077-9954,Taylor and Francis
0077-9962,Taylor and Francis
0028-8233,Taylor and Francis
0028-825X,Taylor and Francis
0114-0671,Taylor and Francis
0028-8306,Taylor and Francis
0028-8330,Taylor and Francis
0301-4223,Taylor and Francis
0048-0169,Taylor and Francis
0890-5495,Taylor and Francis
1445-2294,Taylor and Francis
1058-9759,Taylor and Francis
0803-8740,Taylor and Francis
1891-814X,Taylor and Francis
0809-8131,Taylor and Francis
0803-9488,Taylor and Francis
1901-2276,Taylor and Francis
2156-8588,Taylor and Francis
1890-2138,Taylor and Francis
0029-1951,Taylor and Francis
1092-0277,Taylor and Francis
0078-172X,Taylor and Francis
0029-3652,Taylor and Francis
1061-9127,Taylor and Francis
0029-5639,Taylor and Francis
0029-5450,Taylor and Francis
1525-7770,Taylor and Francis
0163-0563,Taylor and Francis
1040-7782,Taylor and Francis
1040-7790,Taylor and Francis
0163-5581,Taylor and Francis
1028-415X,Taylor and Francis
0738-0577,Taylor and Francis
0164-212X,Taylor and Francis
0090-8320,Taylor and Francis
0927-3948,Taylor and Francis
0268-0513,Taylor and Francis
0928-6586,Taylor and Francis
1381-6810,Taylor and Francis
0233-1934,Taylor and Francis
1026-7670,Taylor and Francis
0167-6830,Taylor and Francis
0030-4948,Taylor and Francis
0030-5316,Taylor and Francis
1344-0241,Taylor and Francis
0030-6525,Taylor and Francis
1360-0818,Taylor and Francis
0078-7191,Taylor and Francis
0305-4985,Taylor and Francis
1472-9342,Taylor and Francis
0191-9512,Taylor and Francis
1444-5921,Taylor and Francis
0030-9230,Taylor and Francis
2046-9047,Taylor and Francis
2055-5563,Taylor and Francis
0031-0328,Taylor and Francis
0191-6122,Taylor and Francis
2375-4931,Taylor and Francis
1353-4645,Taylor and Francis
1529-5192,Taylor and Francis
0260-6755,Taylor and Francis
0272-6351,Taylor and Francis
0264-3944,Taylor and Francis
2047-7724,Taylor and Francis
0031-322X,Taylor and Francis
0161-956X,Taylor and Francis
1040-2659,Taylor and Francis
2164-7259,Taylor and Francis
1554-480X,Taylor and Francis
1468-1366,Taylor and Francis
0888-0018,Taylor and Francis
2051-7483,Taylor and Francis
1352-8165,Taylor and Francis
1477-9757,Taylor and Francis
0907-676X,Taylor and Francis
1045-7097,Taylor and Francis
1360-3108,Taylor and Francis
1091-6466,Taylor and Francis
1083-7450,Taylor and Francis
0141-1594,Taylor and Francis
1386-9795,Taylor and Francis
1478-6435,Taylor and Francis
0556-8641,Taylor and Francis
0951-5089,Taylor and Francis
1026-7719,Taylor and Francis
1754-0763,Taylor and Francis
1751-4517,Taylor and Francis
0031-8884,Taylor and Francis
0270-3181,Taylor and Francis
0194-2638,Taylor and Francis
1740-8989,Taylor and Francis
0272-3646,Taylor and Francis
1083-3196,Taylor and Francis
0031-9104,Taylor and Francis
0959-3985,Taylor and Francis
0032-0447,Taylor and Francis
1548-0755,Taylor and Francis
0266-5433,Taylor and Francis
0269-7459,Taylor and Francis
1464-9357,Taylor and Francis
1126-3504,Taylor and Francis
1755-0874,Taylor and Francis
1465-8011,Taylor and Francis
1088-937X,Taylor and Francis
1477-271X,Taylor and Francis
1043-9463,Taylor and Francis
2332-2950,Taylor and Francis
0144-2872,Taylor and Francis
1058-4609,Taylor and Francis
0032-3187,Taylor and Francis
1462-317X,Taylor and Francis
2156-5503,Taylor and Francis
2156-7697,Taylor and Francis
0258-9346,Taylor and Francis
1026-7743,Taylor and Francis
1558-3716,Taylor and Francis
2574-0881,Taylor and Francis
1540-5702,Taylor and Francis
0300-7766,Taylor and Francis
0032-4728,Taylor and Francis
2326-8743,Taylor and Francis
1463-1377,Taylor and Francis
0079-4236,Taylor and Francis
1060-586X,Taylor and Francis
1368-8790,Taylor and Francis
0032-5481,Taylor and Francis
0032-5899,Taylor and Francis
1756-073X,Taylor and Francis
2578-3858,Taylor and Francis
1090-3127,Taylor and Francis
1082-6068,Taylor and Francis
1045-988X,Taylor and Francis
1051-1970,Taylor and Francis
1075-8216,Taylor and Francis
0953-7287,Taylor and Francis
1941-5257,Taylor and Francis
0969-9260,Taylor and Francis
0144-0357,Taylor and Francis
0033-2747,Taylor and Francis
1321-8719,Taylor and Francis
2472-0038,Taylor and Francis
1048-1885,Taylor and Francis
0735-1690,Taylor and Francis
1551-806X,Taylor and Francis
0266-8734,Taylor and Francis
1522-8878,Taylor and Francis
1475-3626,Taylor and Francis
1047-840X,Taylor and Francis
0033-2925,Taylor and Francis
0887-0446,Taylor and Francis
1941-9902,Taylor and Francis
1068-316X,Taylor and Francis
1354-8506,Taylor and Francis
1752-2439,Taylor and Francis
1050-3307,Taylor and Francis
1989-9386,Taylor and Francis
1465-5187,Taylor and Francis
2150-2560,Taylor and Francis
1099-9922,Taylor and Francis
0161-6846,Taylor and Francis
1471-9037,Taylor and Francis
0954-0962,Taylor and Francis
1530-9576,Taylor and Francis
1056-4942,Taylor and Francis
0959-3683,Taylor and Francis
1607-3606,Taylor and Francis
1478-0887,Taylor and Francis
2159-676X,Taylor and Francis
1745-9435,Taylor and Francis
0898-2112,Taylor and Francis
1353-8322,Taylor and Francis
1068-6967,Taylor and Francis
1684-3703,Taylor and Francis
1469-7688,Taylor and Francis
1768-6733,Taylor and Francis
0033-5630,Taylor and Francis
1050-9208,Taylor and Francis
0033-6297,Taylor and Francis
1361-3324,Taylor and Francis
1026-549X,Taylor and Francis
1057-3569,Taylor and Francis
0270-2711,Taylor and Francis
1462-3943,Taylor and Francis
1357-4175,Taylor and Francis
1462-2459,Taylor and Francis
1359-7566,Taylor and Francis
0034-3404,Taylor and Francis
0048-721X,Taylor and Francis
1550-7394,Taylor and Francis
2153-5981,Taylor and Francis
0963-7494,Taylor and Francis
0034-4087,Taylor and Francis
2150-704X,Taylor and Francis
0034-4893,Taylor and Francis
2329-7018,Taylor and Francis
1464-7893,Taylor and Francis
1356-9783,Taylor and Francis
1542-7609,Taylor and Francis
1479-4802,Taylor and Francis
0934-9847,Taylor and Francis
1359-6748,Taylor and Francis
0263-5143,Taylor and Francis
1543-8627,Taylor and Francis
0835-1813,Taylor and Francis
0267-1522,Taylor and Francis
0270-1367,Taylor and Francis
0895-6308,Taylor and Francis
0886-571X,Taylor and Francis
1364-2529,Taylor and Francis
0893-5696,Taylor and Francis
1535-8593,Taylor and Francis
1071-4413,Taylor and Francis
0969-2290,Taylor and Francis
0953-8259,Taylor and Francis
0034-6764,Taylor and Francis
0890-5762,Taylor and Francis
0093-8157,Taylor and Francis
2330-8249,Taylor and Francis
0954-6545,Taylor and Francis
0735-0198,Taylor and Francis
0277-3945,Taylor and Francis
0307-8698,Taylor and Francis
1468-0629,Taylor and Francis
1940-1159,Taylor and Francis
0278-3193,Taylor and Francis
0883-1157,Taylor and Francis
0263-9904,Taylor and Francis
1037-1656,Taylor and Francis
1470-4994,Taylor and Francis
1940-9427,Taylor and Francis
0961-7353,Taylor and Francis
1543-1304,Taylor and Francis
1026-776X,Taylor and Francis
0346-1238,Taylor and Francis
0358-5522,Taylor and Francis
0036-5513,Taylor and Francis
0031-3831,Taylor and Francis
0282-7581,Taylor and Francis
0036-5521,Taylor and Francis
0346-8755,Taylor and Francis
1502-2250,Taylor and Francis
0300-9742,Taylor and Francis
0901-8328,Taylor and Francis
